date,dp,term,def,ypl,tb30,CRSP_SPvwx,realgnpg,mktrf,Rfree,AAA,BAA,vwretx,ewretx,corpr
2005-09-30,1.747300233559297,1.7099999999999995,1.616413515564159,0.0376737638947035,0.0342,0.006916,0.0344859884717079,0.0040563497736689,0.0029,0.0513,0.0603,-0.0048797962328934,-0.0495869419498381,-0.031
2005-10-31,1.7994299964374776,1.6399999999999997,1.6345307248957175,0.0163331619405644,0.0371,-0.016697,0.0344859884717079,-0.0200841416494877,0.0027,0.0535,0.063,0.0120426733269986,-0.0299454497772377,-0.0204
2005-11-30,1.7581473893139543,1.5399999999999996,1.646384529378886,0.0197870083781781,0.0388,0.035675,0.029727366937913,0.0310804216573938,0.0031,0.0542,0.0639,-0.0121098081768075,-0.0671877697929354,0.0099
2005-12-31,1.7797146496407086,1.48,1.628912996379932,0.0284293248945146,0.0389,-0.001396,0.029727366937913,-0.0039358170928393,0.0032,0.0537,0.0632,0.0433734439114305,0.0003783355022366,0.0225
2006-01-31,1.7503046684582215,1.0500000000000005,1.651619365111281,0.0254985734112325,0.0424,0.025424,0.029727366937913,0.021365073021851,0.0035,0.0529,0.0624,0.0036191751611669,-0.0275759074791114,-0.0093
2006-02-28,1.7643012196836003,0.92,1.586797937369142,0.0234389584817344,0.0443,0.000167,0.032131067957182,-0.0028036906329606,0.0034,0.0535,0.0627,0.0412656000841351,0.0418198724406224,0.0128
2006-03-31,1.759558874636064,1.02,1.4767145539833493,0.0167385378866962,0.0451,0.011511,0.032131067957182,0.007294959782159,0.0037,0.0553,0.0641,0.0046084419414641,-0.0311071284102564,-0.0404
2006-04-30,1.7550377305224285,1.2400000000000002,1.3438719070841865,0.0202484313609596,0.046,0.01085,0.032131067957182,0.0084444075031375,0.0036,0.0584,0.0668,0.0221508289074597,0.0041470016403526,-0.0224
2006-05-31,1.8281617838105964,1.2299999999999998,1.261512853269,0.0212039988409156,0.0472,-0.030519,0.0297290385562021,-0.0349773247582805,0.0043,0.0595,0.0675,0.0153652860898717,-0.0273779402341343,-0.002
2006-06-30,1.8451424972445285,1.1000000000000003,1.407211042888088,0.0204133955542507,0.0479,0.000348,0.0297290385562021,-0.0037386723679748,0.004,0.0589,0.0678,-0.0272520599039766,-0.0820789825426165,0.0039
2006-07-31,1.853014898250121,0.9000000000000001,1.4458122881110747,0.0194948367864553,0.0495,0.00451,0.0297290385562021,0.0011581976914083,0.004,0.0585,0.0676,0.0038765336361603,-0.0429441449394374,0.0237
2006-08-31,1.8312573821539784,0.7200000000000005,1.4860211578135596,0.0221203800562381,0.0496,0.021679,0.0232527793742449,0.0166462803405499,0.0042,0.0568,0.0659,0.002599091552471,-0.0649280191555097,0.0361
2006-09-30,1.8037953363027288,0.7000000000000006,1.544099150847047,0.0231606942341675,0.0481,0.025296,0.0232527793742449,0.0199080400323394,0.0041,0.0551,0.0643,0.0291435544982518,-0.0109964804123711,0.0183
2006-10-31,1.7677620215684282,0.5900000000000003,1.5285349453704677,0.0414367569371771,0.0492,0.03142,0.0232527793742449,0.026576207721056,0.0041,0.0551,0.0642,0.0260842805927437,-0.0221588503092783,0.0127
2006-11-30,1.757873242755046,0.39,1.5119805387329244,0.0278623741812122,0.0494,0.015887,0.0263456037634381,0.0120441257297331,0.0042,0.0533,0.062,0.0402974606155944,0.0141332021452145,0.0246
2006-12-31,1.7544948177395474,0.4699999999999996,1.5629660339753482,0.0164295436386034,0.0485,0.012294,0.0263456037634381,0.0085116134709091,0.004,0.0532,0.0622,0.0248135353919543,-0.0069607420553033,-0.0232
2007-01-31,1.7443055401045724,0.4200000000000002,1.6047981487890572,0.0217740980701948,0.0498,0.014345,0.0263456037634381,0.009470683312078,0.0044,0.054,0.0634,0.0157748008785219,-0.0194619534835641,-0.0051
